都道府県,市区町村,世帯人員,ここまでの合計世帯人員
熊本県,熊本市北区,139833,109262016
熊本県,八代市,123067,109401849
熊本県,人吉市,31108,109524916
熊本県,荒尾市,50832,109556024
熊本県,水俣市,23557,109606856
熊本県,玉名市,64292,109630413
熊本県,山鹿市,49025,109694705
熊本県,菊池市,46416,109743730
熊本県,宇土市,36122,109790146
熊本県,宇城市,57032,109826268
熊本県,阿蘇市,24930,109883300
熊本県,天草市,75783,109908230
熊本県,合志市,61772,109984013
大分県,大分市,475614,110045785
大分県,別府市,115321,110521399
大分県,中津市,82863,110636720
大分県,日田市,62657,110719583
大分県,佐伯市,66851,110782240
大分県,臼杵市,36158,110849091
大分県,津久見市,16100,110885249
大分県,竹田市,20332,110901349
大分県,豊後高田市,22112,110921681
大分県,杵築市,27999,110943793
大分県,宇佐市,52771,110971792
大分県,豊後大野市,33695,111024563
大分県,由布市,32772,111058258
大分県,国東市,26232,111091030
宮崎県,宮崎市,401339,111117262
宮崎県,都城市,160640,111518601
宮崎県,延岡市,118394,111679241
宮崎県,日南市,50848,111797635
宮崎県,小林市,43670,111848483
宮崎県,日向市,59629,111892153
宮崎県,串間市,16822,111951782
宮崎県,西都市,28610,111968604
宮崎県,えびの市,17638,111997214
鹿児島県,鹿児島市,593128,112014852
鹿児島県,鹿屋市,101096,112607980
鹿児島県,枕崎市,20033,112709076
鹿児島県,阿久根市,19270,112729109
鹿児島県,出水市,51994,112748379
鹿児島県,指宿市,39011,112800373
鹿児島県,西之表市,14708,112839384
鹿児島県,垂水市,13819,112854092
鹿児島県,薩摩川内市,92403,112867911
鹿児島県,日置市,47153,112960314
鹿児島県,曽於市,33310,113007467
鹿児島県,霧島市,123135,113040777
鹿児島県,いちき串木野市,27490,113163912
鹿児島県,南さつま市,32887,113191402
鹿児島県,志布志市,29329,113224289
鹿児島県,奄美市,41390,113253618
鹿児島県,南九州市,33080,113295008
鹿児島県,伊佐市,24453,113328088
鹿児島県,姶良市,76348,113352541
沖縄県,那覇市,317625,113428889
沖縄県,宜野湾市,100125,113746514
沖縄県,石垣市,47637,113846639
沖縄県,浦添市,115690,113894276
沖縄県,名護市,63554,114009966
沖縄県,糸満市,61007,114073520
沖縄県,沖縄市,142752,114134527
沖縄県,豊見城市,64612,114277279
沖縄県,うるま市,125303,114341891
沖縄県,宮古島市,52931,114467194
沖縄県,南城市,44043,114520125
